stateName,cityName,status
Tamil Nadu,Dindigul,TRUE
Tamil Nadu,Erode,TRUE
Tamil Nadu,Kallakurichi,TRUE
Tamil Nadu,Kanchipuram,TRUE
Tamil Nadu,Kanniyakumari,TRUE
Tamil Nadu,Karur,TRUE
Tamil Nadu,Krishnagiri,TRUE
Tamil Nadu,Madurai,TRUE
Tamil Nadu,Mayiladuthurai,TRUE
Tamil Nadu,Nagapattinam,TRUE
Tamil Nadu,Namakkal,TRUE
Tamil Nadu,Perambalur,TRUE
Tamil Nadu,Pudukkottai,TRUE
Tamil Nadu,Ramanathapuram,TRUE
Tamil Nadu,Ranipet,TRUE
Tamil Nadu,Salem,TRUE
Tamil Nadu,Sivaganga,TRUE
Tamil Nadu,Tenkasi,TRUE
Tamil Nadu,Thanjavur,TRUE
Tamil Nadu,Theni,TRUE
Tamil Nadu,The Nilgiris,TRUE
Tamil Nadu,Thiruvallur,TRUE
Tamil Nadu,Thiruvarur,TRUE
Tamil Nadu,Tiruchirappalli,TRUE
Tamil Nadu,Tirunelveli,TRUE
Tamil Nadu,Tirupathur,TRUE
Tamil Nadu,Tiruppur,TRUE
Tamil Nadu,Tiruvannamalai,TRUE
Tamil Nadu,Tuticorin,TRUE
Tamil Nadu,Vellore,TRUE
Tamil Nadu,Villupuram,TRUE
Tamil Nadu,Virudhunagar,TRUE
Telangana,Adilabad,TRUE
Telangana,Bhadradri Kothagudem,TRUE
Telangana,Hanumakonda,TRUE
Telangana,Hyderabad,TRUE
Telangana,Jagitial,TRUE
Telangana,Jangoan,TRUE
Telangana,Jayashankar Bhupalapally,TRUE
Telangana,Jogulamba Gadwal,TRUE
Telangana,Kamareddy,TRUE
Telangana,Karimnagar,TRUE
Telangana,Khammam,TRUE
Telangana,Kumuram Bheem Asifabad,TRUE
Telangana,Mahabubabad,TRUE
Telangana,Mahabubnagar,TRUE
Telangana,Mancherial,TRUE
Telangana,Medak,TRUE
Telangana,Medchal Malkajgiri,TRUE
Telangana,Mulugu,TRUE
Telangana,Nagarkurnool,TRUE
Telangana,Nalgonda,TRUE
Telangana,Narayanpet,TRUE
Telangana,Nirmal,TRUE
Telangana,Nizamabad,TRUE
Telangana,Peddapalli,TRUE
Telangana,Rajanna Sircilla,TRUE
Telangana,Ranga Reddy,TRUE
Telangana,Sangareddy,TRUE
Telangana,Siddipet,TRUE
Telangana,Suryapet,TRUE
Telangana,Vikarabad,TRUE
Telangana,Wanaparthy,TRUE
Telangana,Warangal,TRUE
Telangana,Yadadri Bhuvanagiri,TRUE
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,TRUE
The Dadra And Nagar Haveli And Daman And Diu,Daman,TRUE
The Dadra And Nagar Haveli And Daman And Diu,Diu,TRUE
Tripura,Dhalai,TRUE
Tripura,Gomati,TRUE
Tripura,Khowai,TRUE
Tripura,North Tripura,TRUE
Tripura,Sepahijala,TRUE
Tripura,South Tripura,TRUE
Tripura,Unakoti,TRUE
Tripura,West Tripura,TRUE
Uttarakhand,Almora,TRUE
Uttarakhand,Bageshwar,TRUE
Uttarakhand,Chamoli,TRUE
Uttarakhand,Champawat,TRUE
Uttarakhand,Dehradun,TRUE
Uttarakhand,Haridwar,TRUE
Uttarakhand,Nainital,TRUE
Uttarakhand,Pauri Garhwal,TRUE
Uttarakhand,Pithoragarh,TRUE
Uttarakhand,Rudra Prayag,TRUE
Uttarakhand,Tehri Garhwal,TRUE
Uttarakhand,Udam Singh Nagar,TRUE
Uttarakhand,Uttar Kashi,TRUE
Uttar Pradesh,Agra,TRUE
Uttar Pradesh,Aligarh,TRUE
Uttar Pradesh,Ambedkar Nagar,TRUE
Uttar Pradesh,Amethi,TRUE
Uttar Pradesh,Amroha,TRUE
Uttar Pradesh,Auraiya,TRUE
Uttar Pradesh,Ayodhya,TRUE
Uttar Pradesh,Azamgarh,TRUE
Uttar Pradesh,Baghpat,TRUE
Uttar Pradesh,Bahraich,TRUE
Uttar Pradesh,Ballia,TRUE
Uttar Pradesh,Balrampur,TRUE
Uttar Pradesh,Banda,TRUE
Uttar Pradesh,Barabanki,TRUE
Uttar Pradesh,Bareilly,TRUE
Uttar Pradesh,Basti,TRUE
Uttar Pradesh,Bhadohi,TRUE
Uttar Pradesh,Bijnor,TRUE
Uttar Pradesh,Budaun,TRUE
Uttar Pradesh,Bulandshahr,TRUE
Uttar Pradesh,Chandauli,TRUE
Uttar Pradesh,Chitrakoot,TRUE
Uttar Pradesh,Deoria,TRUE
Uttar Pradesh,Etah,TRUE
Uttar Pradesh,Etawah,TRUE
Uttar Pradesh,Farrukhabad,TRUE
Uttar Pradesh,Fatehpur,TRUE
Uttar Pradesh,Firozabad,TRUE
Uttar Pradesh,Gautam Buddha Nagar,TRUE
Uttar Pradesh,Ghaziabad,TRUE
Uttar Pradesh,Ghazipur,TRUE
Uttar Pradesh,Gonda,TRUE
Uttar Pradesh,Gorakhpur,TRUE
Uttar Pradesh,Hamirpur,TRUE
Uttar Pradesh,Hapur,TRUE
Uttar Pradesh,Hardoi,TRUE
Uttar Pradesh,Hathras,TRUE
Uttar Pradesh,Jalaun,TRUE
Uttar Pradesh,Jaunpur,TRUE
Uttar Pradesh,Jhansi,TRUE
Uttar Pradesh,Kannauj,TRUE
Uttar Pradesh,Kanpur Dehat,TRUE
Uttar Pradesh,Kanpur Nagar,TRUE
Uttar Pradesh,Kasganj,TRUE
Uttar Pradesh,Kaushambi,TRUE
Uttar Pradesh,Kheri,TRUE
Uttar Pradesh,Kushi Nagar,TRUE
Uttar Pradesh,Lalitpur,TRUE
Uttar Pradesh,Lucknow,TRUE
Uttar Pradesh,Maharajganj,TRUE
Uttar Pradesh,Mahoba,TRUE
Uttar Pradesh,Mainpuri,TRUE
Uttar Pradesh,Mathura,TRUE
Uttar Pradesh,Mau,TRUE
Uttar Pradesh,Meerut,TRUE
Uttar Pradesh,Mirzapur,TRUE
Uttar Pradesh,Moradabad,TRUE
Uttar Pradesh,Muzaffarnagar,TRUE
Uttar Pradesh,Pilibhit,TRUE
Uttar Pradesh,Pratapgarh,TRUE
Uttar Pradesh,Prayagraj,TRUE
Uttar Pradesh,Rae Bareli,TRUE
Uttar Pradesh,Rampur,TRUE
Uttar Pradesh,Saharanpur,TRUE
Uttar Pradesh,Sambhal,TRUE
Uttar Pradesh,Sant Kabeer Nagar,TRUE
Uttar Pradesh,Shahjahanpur,TRUE
Uttar Pradesh,Shamli,TRUE
Uttar Pradesh,Shravasti,TRUE
Uttar Pradesh,Siddharth Nagar,TRUE
Uttar Pradesh,Sitapur,TRUE
Uttar Pradesh,Sonbhadra,TRUE
Uttar Pradesh,Sultanpur,TRUE
Uttar Pradesh,Unnao,TRUE
Uttar Pradesh,Varanasi,TRUE
West Bengal,24 Paraganas North,TRUE
West Bengal,24 Paraganas South,TRUE
West Bengal,Alipurduar,TRUE
West Bengal,Bankura,TRUE
West Bengal,Birbhum,TRUE
West Bengal,Coochbehar,TRUE
West Bengal,Darjeeling,TRUE
West Bengal,Dinajpur Dakshin,TRUE
West Bengal,Dinajpur Uttar,TRUE
West Bengal,Hooghly,TRUE
West Bengal,Howrah,TRUE
West Bengal,Jalpaiguri,TRUE
West Bengal,Jhargram,TRUE
West Bengal,Kalimpong,TRUE
West Bengal,Maldah,TRUE
West Bengal,Medinipur East,TRUE
West Bengal,Medinipur West,TRUE
West Bengal,Murshidabad,TRUE
West Bengal,Nadia,TRUE
West Bengal,Paschim Bardhaman,TRUE
West Bengal,Purba Bardhaman,TRUE
West Bengal,Purulia,TRUE
